NAMESPACE                  LAST SEEN   TYPE      REASON                    OBJECT                                                    MESSAGE
openebs                    9s          Normal    Pulled                    pod/openebs-ndm-bj7l8                                     Container image "openebs/node-disk-manager:2.1.0" already present on machine
openebs                    4m58s       Normal    Pulled                    pod/openebs-ndm-6p6hg                                     Container image "openebs/node-disk-manager:2.1.0" already present on machine
openebs                    3m13s       Warning   Failed                    pod/openebs-ndm-bj7l8                                     Error: failed to reserve container name "node-disk-manager_openebs-ndm-bj7l8_openebs_b032d735-781f-4e29-aede-09815d84ffa6_2": name "node-disk-manager_openebs-ndm-bj7l8_openebs_b032d735-781f-4e29-aede-09815d84ffa6_2" is reserved for "db15868b81d86cafcafbbb8b20b4817358562be2079381ccdbb8cdbc11c8c0c5"
openebs                    3m16s       Warning   Failed                    pod/openebs-ndm-6p6hg                                     Error: failed to reserve container name "node-disk-manager_openebs-ndm-6p6hg_openebs_f0e95be2-a9f8-4e39-9cae-162a4ab60095_2": name "node-disk-manager_openebs-ndm-6p6hg_openebs_f0e95be2-a9f8-4e39-9cae-162a4ab60095_2" is reserved for "86132262771bbd80e8ed7fab44f4c9ab4fd1658358730c8659632a93f0743fd2"
smsf-argocd                2m10s       Normal    BackOff                   pod/smsf-mongodb-statistics-69df5667c-wk49x               Back-off pulling image "docker.io/bitnami/mongodb:4.4"
smsf-argocd                2m10s       Warning   Failed                    pod/smsf-mongodb-statistics-69df5667c-wk49x               Error: ImagePullBackOff
smsf-argocd                64s         Normal    BackOff                   pod/smsf-redis-node-0                                     Back-off pulling image "docker.io/bitnami/redis:7.22.0"
smsf-argocd                64s         Warning   Failed                    pod/smsf-redis-node-0                                     Error: ImagePullBackOff
spring-config-server-gui   3m24s       Warning   FailedGetResourceMetric   horizontalpodautoscaler/config-server-gui-lab-setup-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
spring-config-server       3m24s       Warning   FailedGetResourceMetric   horizontalpodautoscaler/config-server-lab-setup-hpa       failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
vcp-argocd                 4m28s       Normal    BackOff                   pod/moagent-vcp-smsantispam-cluster-69d6c7f574-4786z      Back-off pulling image "nexus.telenity.com/com/telenity/canvas/smsantispam/docker:4.0.3-SNAPSHOT"
vcp-argocd                 4m28s       Warning   Failed                    pod/moagent-vcp-smsantispam-cluster-69d6c7f574-4786z      Error: ImagePullBackOff
vcp-argocd                 24m         Normal    Pulling                   pod/moagent-vcp-smsantispam-cluster-69d6c7f574-4786z      Pulling image "nexus.telenity.com/com/telenity/canvas/smsantispam/docker:4.0.3-SNAPSHOT"
vcp-argocd                 24m         Warning   Failed                    pod/moagent-vcp-smsantispam-cluster-69d6c7f574-4786z      Failed to pull image "nexus.telenity.com/com/telenity/canvas/smsantispam/docker:4.0.3-SNAPSHOT": rpc error: code = NotFound desc = failed to pull and unpack image "nexus.telenity.com/com/telenity/canvas/smsantispam/docker:4.0.3-SNAPSHOT": failed to resolve reference "nexus.telenity.com/com/telenity/canvas/smsantispam/docker:4.0.3-SNAPSHOT": nexus.telenity.com/com/telenity/canvas/smsantispam/docker:4.0.3-SNAPSHOT: not found
