NAME                             STATUS   AGE
argocd                           Active   164d
calico-apiserver                 Active   164d
calico-system                    Active   164d
canvas-flexiblelicensingserver   Active   18d
cert-manager                     Active   98d
default                          Active   164d
dmi4j-backend                    Active   18d
ingress-nginx                    Active   94d
keycloak                         Active   82d
kube-node-lease                  Active   164d
kube-public                      Active   164d
kube-system                      Active   164d
kubernetes-dashboard             Active   158d
metallb-system                   Active   82d
ngssm-repo-main                  Active   3d14h
observability                    Active   17d
openebs                          Active   164d
smsf-argocd                      Active   96d
spring-config-server             Active   98d
spring-config-server-gui         Active   87d
tigera-operator                  Active   164d
vcp-argocd                       Active   34d
