NAMESPACE                  NAME                                   READY   UP-TO-DATE   AVAILABLE   AGE
argocd                     argocd-applicationset-controller       1/1     1            1           164d
argocd                     argocd-dex-server                      1/1     1            1           164d
argocd                     argocd-notifications-controller        1/1     1            1           164d
argocd                     argocd-redis                           1/1     1            1           164d
argocd                     argocd-repo-server                     1/1     1            1           164d
argocd                     argocd-server                          1/1     1            1           164d
calico-apiserver           calico-apiserver                       2/2     2            2           164d
calico-system              calico-kube-controllers                1/1     1            1           164d
calico-system              calico-typha                           3/3     3            3           164d
calico-system              goldmane                               1/1     1            1           164d
calico-system              whisker                                1/1     1            1           164d
cert-manager               cert-manager                           1/1     1            1           98d
cert-manager               cert-manager-cainjector                1/1     1            1           98d
cert-manager               cert-manager-webhook                   1/1     1            1           98d
default                    nfs-subdir-external-provisioner        1/1     1            1           164d
ingress-nginx              ingress-nginx-controller               1/1     1            1           94d
kube-system                coredns                                2/2     2            2           164d
kubernetes-dashboard       kubernetes-dashboard-api               1/1     1            1           158d
kubernetes-dashboard       kubernetes-dashboard-auth              1/1     1            1           158d
kubernetes-dashboard       kubernetes-dashboard-kong              1/1     1            1           158d
kubernetes-dashboard       kubernetes-dashboard-metrics-scraper   1/1     1            1           158d
kubernetes-dashboard       kubernetes-dashboard-web               1/1     1            1           158d
metallb-system             controller                             1/1     1            1           82d
observability              otel-collector                         2/2     2            2           17d
openebs                    openebs-localpv-provisioner            1/1     1            1           164d
openebs                    openebs-ndm-cluster-exporter           1/1     1            1           164d
openebs                    openebs-ndm-operator                   1/1     1            1           164d
smsf-argocd                smsf-mongodb-statistics                0/1     1            0           95d
spring-config-server-gui   config-server-gui-lab-setup            2/2     2            2           83d
spring-config-server       config-server-lab-setup                3/3     3            3           83d
tigera-operator            tigera-operator                        1/1     1            1           164d
vcp-argocd                 moagent-vcp-smsantispam-cluster        0/1     1            0           33d
vcp-argocd                 oamportal-deployment                   1/1     1            1           32d
vcp-argocd                 vcp-memcached                          1/1     1            1           34d
vcp-argocd                 vcp-memcached-smsantispam              1/1     1            1           33d
vcp-argocd                 vcp-mongodb-statistics                 1/1     1            1           34d
