NAMESPACE                  NAME                                               TYPE           CLUSTER-IP       EXTERNAL-IP    PORT(S)                                                                                     AGE
argocd                     argocd-applicationset-controller                   ClusterIP      10.110.195.120   <none>         7000/TCP,8080/TCP                                                                           164d
argocd                     argocd-dex-server                                  ClusterIP      10.96.186.108    <none>         5556/TCP,5557/TCP,5558/TCP                                                                  164d
argocd                     argocd-metrics                                     ClusterIP      10.98.176.164    <none>         8082/TCP                                                                                    164d
argocd                     argocd-notifications-controller-metrics            ClusterIP      10.100.250.196   <none>         9001/TCP                                                                                    164d
argocd                     argocd-redis                                       ClusterIP      10.108.84.173    <none>         6379/TCP                                                                                    164d
argocd                     argocd-repo-server                                 ClusterIP      10.97.157.23     <none>         8081/TCP,8084/TCP                                                                           164d
argocd                     argocd-server                                      NodePort       10.96.179.57     <none>         80:30754/TCP,443:31796/TCP                                                                  164d
argocd                     argocd-server-metrics                              ClusterIP      10.96.16.218     <none>         8083/TCP                                                                                    164d
calico-apiserver           calico-api                                         ClusterIP      10.110.41.186    <none>         443/TCP                                                                                     164d
calico-system              calico-kube-controllers-metrics                    ClusterIP      None             <none>         9094/TCP                                                                                    164d
calico-system              calico-typha                                       ClusterIP      10.109.169.68    <none>         5473/TCP                                                                                    164d
calico-system              goldmane                                           ClusterIP      10.106.174.69    <none>         7443/TCP                                                                                    164d
calico-system              whisker                                            ClusterIP      10.110.14.73     <none>         8081/TCP                                                                                    164d
cert-manager               cert-manager                                       ClusterIP      10.98.13.249     <none>         9402/TCP                                                                                    98d
cert-manager               cert-manager-cainjector                            ClusterIP      10.99.20.93      <none>         9402/TCP                                                                                    98d
cert-manager               cert-manager-webhook                               ClusterIP      10.99.72.240     <none>         443/TCP,9402/TCP                                                                            98d
default                    kubernetes                                         ClusterIP      10.96.0.1        <none>         443/TCP                                                                                     164d
dmi4j-backend              dmi4j-backend-dmi4j-backend                        ClusterIP      None             <none>         5701/TCP                                                                                    18d
dmi4j-backend              dmi4j-backend-restapi-nodeport-dmi4j-backend       NodePort       10.97.213.47     <none>         8080:30080/TCP                                                                              18d
dmi4j-backend              dmi4j-backend-restapi-service-dmi4j-backend        ClusterIP      10.106.210.5     <none>         8080/TCP                                                                                    18d
ingress-nginx              ingress-nginx-controller                           LoadBalancer   10.103.148.135   10.35.36.240   80:31314/TCP,443:30759/TCP                                                                  94d
ingress-nginx              ingress-nginx-controller-admission                 ClusterIP      10.111.118.102   <none>         443/TCP                                                                                     94d
keycloak                   keycloak                                           ClusterIP      10.98.200.212    <none>         80/TCP                                                                                      82d
keycloak                   keycloak-headless                                  ClusterIP      None             <none>         8080/TCP                                                                                    82d
keycloak                   keycloak-postgresql                                ClusterIP      10.97.6.132      <none>         5432/TCP                                                                                    82d
keycloak                   keycloak-postgresql-hl                             ClusterIP      None             <none>         5432/TCP                                                                                    82d
kube-system                kube-dns                                           ClusterIP      10.96.0.10       <none>         53/UDP,53/TCP,9153/TCP                                                                      164d
kubernetes-dashboard       kubernetes-dashboard-api                           ClusterIP      10.108.184.183   <none>         8000/TCP                                                                                    158d
kubernetes-dashboard       kubernetes-dashboard-auth                          ClusterIP      10.108.105.180   <none>         8000/TCP                                                                                    158d
kubernetes-dashboard       kubernetes-dashboard-kong-proxy                    NodePort       10.105.92.184    <none>         443:32230/TCP                                                                               158d
kubernetes-dashboard       kubernetes-dashboard-metrics-scraper               ClusterIP      10.98.233.145    <none>         8000/TCP                                                                                    158d
kubernetes-dashboard       kubernetes-dashboard-web                           ClusterIP      10.97.46.188     <none>         8000/TCP                                                                                    158d
metallb-system             webhook-service                                    ClusterIP      10.106.202.94    <none>         443/TCP                                                                                     82d
observability              otel-collector                                     ClusterIP      10.102.211.39    <none>         4317/TCP,4318/TCP                                                                           17d
openebs                    openebs-ndm-cluster-exporter-service               ClusterIP      None             <none>         9100/TCP                                                                                    164d
openebs                    openebs-ndm-node-exporter-service                  ClusterIP      None             <none>         9101/TCP                                                                                    164d
smsf-argocd                smsf-mongodb-statistics                            ClusterIP      10.100.188.58    <none>         27017/TCP                                                                                   95d
smsf-argocd                smsf-mysql                                         ClusterIP      10.97.26.122     <none>         3306/TCP                                                                                    95d
smsf-argocd                smsf-mysql-headless                                ClusterIP      None             <none>         3306/TCP                                                                                    95d
smsf-argocd                smsf-mysql-oamdb                                   ClusterIP      10.99.140.46     <none>         3306/TCP                                                                                    95d
smsf-argocd                smsf-mysql-oamdb-headless                          ClusterIP      None             <none>         3306/TCP                                                                                    95d
smsf-argocd                smsf-redis                                         ClusterIP      10.101.12.109    <none>         6379/TCP,26379/TCP                                                                          95d
smsf-argocd                smsf-redis-headless                                ClusterIP      None             <none>         6379/TCP,26379/TCP                                                                          95d
spring-config-server-gui   config-server-gui-svc                              NodePort       10.111.39.87     <none>         8091:30387/TCP                                                                              83d
spring-config-server       config-server-mysql-service                        ClusterIP      10.102.141.148   <none>         3306/TCP                                                                                    96d
spring-config-server       config-server-mysql-service-headless               ClusterIP      None             <none>         3306/TCP                                                                                    96d
spring-config-server       config-server-svc                                  NodePort       10.103.181.126   <none>         8888:31410/TCP                                                                              83d
vcp-argocd                 dmi4j-backend-restapi-nodeport-vcp-dmi4j-backend   NodePort       10.105.82.179    <none>         8080:31180/TCP                                                                              34d
vcp-argocd                 dmi4j-backend-restapi-service-vcp-dmi4j-backend    ClusterIP      10.110.211.137   <none>         8080/TCP                                                                                    34d
vcp-argocd                 dmi4j-backend-vcp-dmi4j-backend                    ClusterIP      None             <none>         5701/TCP                                                                                    34d
vcp-argocd                 moagent-service-vcp-smsantispam-cluster            ClusterIP      10.107.193.132   <none>         20019/TCP                                                                                   33d
vcp-argocd                 oamportal-nodeport                                 NodePort       10.97.84.63      <none>         8020:30020/TCP                                                                              32d
vcp-argocd                 oamportal-service                                  ClusterIP      10.102.61.219    <none>         8020/TCP                                                                                    32d
vcp-argocd                 smsantispam-nodeport                               NodePort       10.97.206.125    <none>         2003:32003/TCP,8095:30995/TCP,8096:30996/TCP,8985:30985/TCP,8098:30998/TCP,8097:30997/TCP   33d
vcp-argocd                 smsantispam-service                                ClusterIP      10.98.146.40     <none>         2003/TCP,8095/TCP,8096/TCP,8985/TCP,8098/TCP,8097/TCP                                       33d
vcp-argocd                 vcp-memcached                                      ClusterIP      10.109.67.145    <none>         11211/TCP                                                                                   34d
vcp-argocd                 vcp-memcached-smsantispam                          ClusterIP      10.108.28.12     <none>         11211/TCP                                                                                   33d
vcp-argocd                 vcp-mongodb-statistics                             ClusterIP      10.98.219.111    <none>         27017/TCP                                                                                   34d
vcp-argocd                 vcp-mysql-oamdb                                    ClusterIP      10.105.68.75     <none>         3306/TCP                                                                                    34d
vcp-argocd                 vcp-mysql-oamdb-headless                           ClusterIP      None             <none>         3306/TCP                                                                                    34d
vcp-argocd                 vcp-mysql-smsantispam                              ClusterIP      10.107.219.110   <none>         3306/TCP                                                                                    34d
vcp-argocd                 vcp-mysql-smsantispam-headless                     ClusterIP      None             <none>         3306/TCP                                                                                    34d
vcp-argocd                 vcp-redis                                          ClusterIP      10.96.130.81     <none>         6379/TCP,26379/TCP                                                                          32d
vcp-argocd                 vcp-redis-headless                                 ClusterIP      None             <none>         6379/TCP,26379/TCP                                                                          32d
vcp-argocd                 vcp-redis-smsantispam                              ClusterIP      10.110.194.141   <none>         6379/TCP,26379/TCP                                                                          32d
vcp-argocd                 vcp-redis-smsantispam-headless                     ClusterIP      None             <none>         6379/TCP,26379/TCP                                                                          32d
