NAMESPACE              NAME                              READY   AGE
argocd                 argocd-application-controller     1/1     164d
dmi4j-backend          dmi4j-backend-dmi4j-backend       3/3     18d
keycloak               keycloak                          1/1     82d
keycloak               keycloak-postgresql               1/1     82d
smsf-argocd            smsf-mysql                        1/1     95d
smsf-argocd            smsf-mysql-oamdb                  1/1     95d
smsf-argocd            smsf-redis-node                   0/3     95d
spring-config-server   config-server-mysql-service       1/1     96d
vcp-argocd             dmi4j-backend-vcp-dmi4j-backend   1/1     34d
vcp-argocd             smsantispam                       1/1     33d
vcp-argocd             vcp-mysql-oamdb                   1/1     34d
vcp-argocd             vcp-mysql-smsantispam             1/1     34d
vcp-argocd             vcp-redis-node                    3/3     32d
vcp-argocd             vcp-redis-smsantispam-node        3/3     32d
