NAMESPACE                        NAME                                                          DATA   AGE
argocd                           argocd-cm                                                     9      164d
argocd                           argocd-cmd-params-cm                                          0      164d
argocd                           argocd-gpg-keys-cm                                            0      164d
argocd                           argocd-notifications-cm                                       0      164d
argocd                           argocd-rbac-cm                                                0      164d
argocd                           argocd-ssh-known-hosts-cm                                     1      164d
argocd                           argocd-tls-certs-cm                                           0      164d
argocd                           kube-root-ca.crt                                              1      164d
calico-apiserver                 kube-root-ca.crt                                              1      164d
calico-system                    active-operator                                               1      164d
calico-system                    cni-config                                                    1      164d
calico-system                    goldmane                                                      1      164d
calico-system                    goldmane-ca-bundle                                            2      164d
calico-system                    kube-root-ca.crt                                              1      164d
calico-system                    tigera-ca-bundle                                              2      164d
calico-system                    whisker-ca-bundle                                             2      164d
canvas-flexiblelicensingserver   canvas-configmap-canvas-flexiblelicensingserver               15     14d
canvas-flexiblelicensingserver   datasources-oamdb-configmap-canvas-flexiblelicensingserver    0      14d
canvas-flexiblelicensingserver   flexiblelicense-ds-configmap-canvas-flexiblelicensingserver   0      14d
canvas-flexiblelicensingserver   kube-root-ca.crt                                              1      18d
canvas-flexiblelicensingserver   mml-configmap-canvas-flexiblelicensingserver                  0      14d
cert-manager                     kube-root-ca.crt                                              1      98d
default                          kube-root-ca.crt                                              1      164d
default                          smsf-conf-configmap                                           3      98d
default                          smsf-conf-data-configmap                                      1      98d
default                          smsf-conf-properties-configmap                                3      98d
default                          smsf-mysql-init-configmap                                     1      98d
dmi4j-backend                    kube-root-ca.crt                                              1      18d
ingress-nginx                    ingress-nginx-controller                                      0      94d
ingress-nginx                    kube-root-ca.crt                                              1      94d
keycloak                         keycloak-env-vars                                             23     82d
keycloak                         kube-root-ca.crt                                              1      82d
kube-node-lease                  kube-root-ca.crt                                              1      164d
kube-public                      cluster-info                                                  1      164d
kube-public                      kube-root-ca.crt                                              1      164d
kube-system                      coredns                                                       1      164d
kube-system                      extension-apiserver-authentication                            6      164d
kube-system                      kube-apiserver-legacy-service-account-token-tracking          1      164d
kube-system                      kube-proxy                                                    2      164d
kube-system                      kube-root-ca.crt                                              1      164d
kube-system                      kubeadm-config                                                1      164d
kube-system                      kubelet-config                                                1      164d
kubernetes-dashboard             kong-dbless-config                                            1      158d
kubernetes-dashboard             kube-root-ca.crt                                              1      158d
kubernetes-dashboard             kubernetes-dashboard-web-settings                             0      158d
metallb-system                   kube-root-ca.crt                                              1      82d
metallb-system                   metallb-excludel2                                             1      82d
ngssm-repo-main                  base-configmap-ngssm-repo-main                                10     3d10h
ngssm-repo-main                  kube-root-ca.crt                                              1      3d14h
observability                    kube-root-ca.crt                                              1      17d
observability                    otel-collector-config                                         1      17d
openebs                          kube-root-ca.crt                                              1      164d
openebs                          openebs-ndm-config                                            1      164d
smsf-argocd                      kube-root-ca.crt                                              1      96d
smsf-argocd                      smsf-mysql                                                    1      95d
smsf-argocd                      smsf-mysql-oamdb                                              1      95d
smsf-argocd                      smsf-redis-configuration                                      4      95d
smsf-argocd                      smsf-redis-health                                             8      95d
smsf-argocd                      smsf-redis-scripts                                            4      95d
spring-config-server-gui         kube-root-ca.crt                                              1      87d
spring-config-server             config-server-mysql-service                                   1      97d
spring-config-server             kube-root-ca.crt                                              1      98d
tigera-operator                  kube-root-ca.crt                                              1      164d
vcp-argocd                       canvas-configmap-vcp-smsantispam-cluster                      8      33d
vcp-argocd                       canvas-oamportal-configmap                                    6      32d
vcp-argocd                       datasources-oamdb-configmap-vcp-smsantispam-cluster           2      33d
vcp-argocd                       kube-root-ca.crt                                              1      34d
vcp-argocd                       mml-configmap-vcp-smsantispam-cluster-canvas-smsantispam      1      33d
vcp-argocd                       oamportal-clustersxml-configmap-vcp-canvas-oamportal          1      32d
vcp-argocd                       smsantispam-ds-configmap-vcp-smsantispam-cluster              1      33d
vcp-argocd                       vcp-mysql-oamdb                                               1      34d
vcp-argocd                       vcp-mysql-smsantispam                                         1      34d
vcp-argocd                       vcp-redis-configuration                                       4      32d
vcp-argocd                       vcp-redis-health                                              8      32d
vcp-argocd                       vcp-redis-scripts                                             4      32d
vcp-argocd                       vcp-redis-smsantispam-configuration                           4      32d
vcp-argocd                       vcp-redis-smsantispam-health                                  8      32d
vcp-argocd                       vcp-redis-smsantispam-scripts                                 4      32d
